,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,
26,-1.71E-05,0.000166232,-0.003519069,-0.000628704,8.26E-17,-0.000260836,0.001183763,-0.000306266,0.002975067,-0.001918204,0.004195001,-0.000734578,0.00036082,-0.000370101,-0.000735933,4.21E-06,-0.001642533,0.00239603,-9.72E-05,-0.000817553,26
27,-0.000882509,0.000184397,-0.005092428,0.014094811,2.03E-18,0.003648086,0.002253733,0.003286084,0.00121943,0.003370091,-0.00282703,0.000832813,-0.001693237,0.002179246,-0.01262063,0.003776424,-0.003482762,-0.008881014,0.010720962,-0.009279006,27
28,-2.02E-28,-6.62E-24,-1.91E-21,-8.47E-21,7.65E-17,1.04E-17,-6.94E-17,-2.78E-16,8.33E-17,5.55E-16,-1.25E-16,-1.18E-16,2.64E-16,2.43E-17,-5.41E-16,6.25E-17,-5.20E-18,-2.50E-16,1.11E-16,3.33E-16,28
29,-0.000468642,0.000248653,-0.00572906,0.017765325,1.62E-16,-0.003167821,-0.001945958,0.002959038,-0.001694951,0.003777558,-0.002625795,0.00054348,0.011506742,-0.010970092,-0.002973653,0.000390108,0.015078078,0.028031713,-0.07180207,0.042197721,29
30,-3.16E-29,7.24E-25,-3.18E-22,6.35E-22,-2.99E-16,1.39E-17,-6.94E-18,-5.55E-17,2.12E-16,4.30E-16,-4.86E-17,9.97E-17,-6.94E-18,-6.94E-18,-6.66E-16,-4.16E-17,8.67E-18,-5.24E-16,-1.42E-15,-5.46E-14,30
31,-0.001057705,0.000294342,-0.008232622,0.025599306,-2.91E-17,-0.003295394,-0.001715805,0.009410443,-0.001151163,0.009408918,-0.001406565,0.00019817,0.003948331,-0.002283935,-0.01633969,0.004414507,0.00993238,0.015745518,-0.040305015,0.024679663,31
32,-0.000357098,0.491344026,0.005821653,-0.011681488,1.02E-17,0.003822354,0.001172605,0.007640754,0.001358832,0.010393261,-0.002733968,0.000588862,0.001058132,0.000344234,-0.00132143,0.00200392,0.00071184,0.001122605,0.001011729,0.000498108,32
33,-0.000695176,0.000338856,-0.008410834,0.026216364,2.14E-16,-0.004245858,-0.002474587,0.006254026,-0.002034104,0.007367183,-0.003346338,0.00064124,0.011210189,-0.016874379,-0.005042345,0.002174174,0.023399413,0.044328207,-0.109907675,0.065407415,33
34,-0.000349898,1.31E-05,-0.000368657,0.001073068,-3.58E-16,0.000267386,0.000205685,0.000336739,0.000570404,0.000108871,0.000155332,1.26E-05,0.000356158,0.000939791,0.001298232,-0.000421681,-0.000627126,0.003163022,0.001168832,0.000481639,34
35,-0.001104724,0.001256852,-0.008363371,0.020704111,2.04E-16,-0.010146263,-0.007660445,-0.024129511,-0.0104368,-0.031702165,-0.005070477,0.00110725,-0.001744996,-0.002174004,0.0006934,-0.008424602,-0.001740051,-0.005878736,-0.006643537,-0.000191432,35
36,-0.000862699,0.000252752,-0.006583623,0.019778725,5.80E-17,-0.002727574,0.001082898,0.00563853,-0.000774079,0.006987719,-0.001717639,0.000314027,0.003323569,-0.000815645,-0.00841817,0.004354705,0.006153987,0.012156263,-0.02743653,0.021716727,36
37,-0.000347011,0.000369994,-0.014766892,0.012187607,4.91E-18,-0.006477157,0.019568179,-0.006324856,0.020258994,-0.017670189,-0.001607762,0.003279283,-0.000906778,-0.019415337,-0.003687011,-0.010320974,0.350767387,-0.001362253,0.046590918,-0.030028053,37
38,-0.003193234,0.000452289,-0.012942147,0.039575479,2.13E-16,-0.00089194,-0.002606504,0.01461047,-0.003312789,0.013551975,-0.000538247,-0.000265374,-0.00308837,0.005719917,-0.034689147,0.007614276,-0.003509698,-0.013975424,0.015660375,-0.014261399,38
39,-3.01E-36,1.58E-30,6.46E-27,2.07E-25,-6.60E-16,4.07E-20,2.17E-19,8.67E-18,3.12E-17,9.02E-17,9.71E-17,1.67E-15,7.22E-16,0,-2.78E-17,-1.94E-16,-1.13E-17,-7.84E-16,1.32E-16,1.26E-14,39
40,-0.000718339,0.002232004,-0.006264913,0.016950436,1.88E-16,-0.002198432,0.003315501,0.002300347,0.003168778,0.000958608,-0.00032942,0.000433511,0.002644869,-0.002113785,-0.000671995,0.000942006,0.003945347,0.008039029,-0.025281192,0.015753573,40
41,-0.001438051,0.002711314,-0.117158081,-0.000169706,-8.96E-17,-0.018660544,-0.015623634,-0.051039213,-0.033820031,-0.061959322,-0.002885725,-0.000209445,-0.009308212,-0.009225746,0.003824044,-0.019011511,0.064035638,-0.01554833,-0.004494677,-0.005183061,41
42,-7.83E-05,0.000106839,-0.004421036,0.00555708,-8.06E-17,-0.003179116,0.019342073,-0.003224074,0.009709695,-0.007433564,0.008003601,-0.000523886,0.000519399,-0.017354212,0.000586402,-0.007726961,0.322308383,-0.002172658,0.057159946,-0.03362846,42
43,-0.000439622,0.000432885,-0.208809654,-0.081286965,9.21E-17,0.005698908,-0.007074033,-0.000219984,-0.042907894,0.01801551,0.022513063,-0.008835824,0.003080372,-0.000164022,-0.004000069,0.002436985,-0.003189352,0.002159412,-0.001211646,0.002227965,43
44,-0.00104641,0.00018366,-0.044677139,-0.002922862,1.58E-17,0.000104257,0.016533315,0.011699423,0.10391957,-0.02395844,-0.060844729,0.02509911,-0.003979426,-0.001798158,-0.009807864,0.002480372,-0.011716579,0.028285562,-0.016461594,-0.008636082,44
45,-0.005239064,0.000636591,-0.017937205,0.054617271,-3.97E-19,-0.004580052,-0.003659358,0.021733277,-0.005688308,0.020503373,-0.000709334,-0.000526584,-0.006035908,0.005560942,-0.050924763,0.011521389,-0.009419226,-0.030087022,0.029731982,-0.0346694,45
46,-0.003237713,0.000892365,-0.01359609,0.039534578,-7.73E-18,-0.009686777,-0.009725337,-0.022986366,-0.013304233,-0.03773778,-0.011149217,0.002848205,0.016322244,0.013322843,-0.008363598,-0.039606941,-0.032001518,0.428715465,0.284357441,0.088939968,46
47,-0.000954968,0.129963758,-0.009734559,0.023860928,9.57E-18,-0.014264459,-0.00641241,-0.036117185,-0.008590984,-0.050777188,0.009788893,-0.002182927,-0.006114228,-0.005380005,0.002189137,-0.011897781,-0.00453109,-0.008006415,-0.007741656,-0.005709069,47
48,-0.000439622,0.000432885,-0.208809654,-0.081286965,5.38E-17,0.005698908,-0.007074033,-0.000219984,-0.042907894,0.01801551,0.022513063,-0.008835824,0.003080372,-0.000164022,-0.004000069,0.002436985,-0.003189352,0.002159412,-0.001211646,0.002227965,48
49,-0.001074843,0.000313808,-0.006457036,0.019651689,-3.07E-16,-0.003646673,-0.002141209,0.00340893,-0.001562001,0.003044676,-0.002987412,0.000657875,0.006387131,-0.010436307,-0.00724338,0.001399676,0.015209272,0.028404545,-0.076521797,0.045100504,49
50,-0.001371061,0.000394432,-0.01133409,0.035525134,1.43E-17,-0.004453882,-0.002333716,0.014085184,-0.001501384,0.014452527,-0.002014708,0.000265097,0.005075827,-0.006338599,-0.023332825,0.006775194,0.015696202,0.025034023,-0.059695336,0.029853251,50
51,-0.001001908,0.000228286,-0.006972005,0.020930441,-1.61E-16,-0.002549403,-0.001215592,0.007561675,0.000999841,0.008889902,-0.000975462,0.00024128,3.75E-05,0.004901217,-0.01621739,0.008466057,0.002680579,0.00320477,-0.004680762,0.004725077,51
